wikiData	wikiDataLabel	tagInfo	tagClassLabel	mainCategoryLabel
http://www.wikidata.org/entity/Q40348	lawyer	Key:lawyer	occupation group according to ISCO-08	Category:Lawyers
http://www.wikidata.org/entity/Q40348	lawyer	Tag:office=lawyer	occupation group according to ISCO-08	Category:Lawyers
http://www.wikidata.org/entity/Q40348	lawyer	Key:lawyer	legal profession	Q8879683
http://www.wikidata.org/entity/Q40348	lawyer	Tag:office=lawyer	legal profession	Q8879683
http://www.wikidata.org/entity/Q40348	lawyer	Key:lawyer	occupation group according to ISCO-08	Q8879683
http://www.wikidata.org/entity/Q40348	lawyer	Tag:office=lawyer	occupation group according to ISCO-08	Q8879683
http://www.wikidata.org/entity/Q41323	American football	Tag:sport=american_football	type of sport	Category:American football
http://www.wikidata.org/entity/Q43501	zoo	Key:zoo		Category:Zoos
http://www.wikidata.org/entity/Q43501	zoo	Tag:tourism=zoo		Category:Zoos
http://www.wikidata.org/entity/Q45791	geoglyph	Tag:man_made=geoglyph		Category:Geoglyphs
http://www.wikidata.org/entity/Q48204	voluntary association	Tag:office=association	legal form	Category:Associations
http://www.wikidata.org/entity/Q54050	hill	Tag:natural=peak		Category:Hills
http://www.wikidata.org/entity/Q54111	Neoclassical architecture	Tag:building:architecture=neoclassicism	architectural style	Category:Neoclassical architecture
http://www.wikidata.org/entity/Q54111	Neoclassical architecture	Tag:building:architecture=neoclassicism	architectural style	Category:Classicist architecture
http://www.wikidata.org/entity/Q58917	adit	Tag:man_made=adit		
http://www.wikidata.org/entity/Q59774	Wicca	Tag:denomination=wicca	religion	Category:Wicca
http://www.wikidata.org/entity/Q60381	Taiwan Provincial Highway	Tag:network=TW:provincial	highway system	Category:Provincial highways in Taiwan
http://www.wikidata.org/entity/Q64842	Armenian Catholic Church	Tag:denomination=armenian_catholic	Eastern Catholic Churches	Category:Armenian Catholic Church
http://www.wikidata.org/entity/Q64842	Armenian Catholic Church	Tag:denomination=armenian_catholic	Catholic particular church sui iuris	Category:Armenian Catholic Church
